TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
TFCP2	0.241	-0.170	3.445	6.894e-04	4.322e-01	0.364	-0.045	-0.099	0.365	7.160e-01	1.000e+00	-0.000	3.810
RUNX3	0.188	0.275	-0.758	4.491e-01	1.000e+00	-0.000	0.536	0.050	4.500	1.632e-05	1.023e-02	1.990	3.742
XPC	0.157	0.134	0.363	7.172e-01	1.000e+00	-0.000	0.232	-0.000	3.368	9.850e-04	6.176e-01	0.209	3.731
COPS5	-0.099	-0.346	2.011	4.550e-02	1.000e+00	-0.000	0.067	-0.184	1.711	8.975e-02	1.000e+00	-0.000	3.722
BACH1	0.045	-0.094	1.653	9.975e-02	1.000e+00	-0.000	0.067	-0.089	2.001	4.738e-02	1.000e+00	-0.000	3.654
ONECUT2	0.485	0.193	3.217	1.454e-03	9.114e-01	0.040	0.172	0.130	0.419	6.756e-01	1.000e+00	-0.000	3.636
KAT2B	0.725	0.466	3.019	2.841e-03	1.000e+00	-0.000	0.101	0.056	0.566	5.724e-01	1.000e+00	-0.000	3.585
HSF2	0.005	-0.042	1.018	3.094e-01	1.000e+00	-0.000	0.185	0.048	2.556	1.161e-02	1.000e+00	-0.000	3.574
PITX3	0.206	0.039	2.861	4.651e-03	1.000e+00	-0.000	0.150	0.104	0.691	4.906e-01	1.000e+00	-0.000	3.552
NCOR2	0.258	0.155	1.282	2.014e-01	1.000e+00	-0.000	0.274	0.091	2.154	3.285e-02	1.000e+00	-0.000	3.436
KDM4B	0.258	0.155	1.282	2.014e-01	1.000e+00	-0.000	0.274	0.091	2.154	3.285e-02	1.000e+00	-0.000	3.436
HMGB2	0.182	0.035	2.182	3.000e-02	1.000e+00	-0.000	0.003	-0.087	1.221	2.243e-01	1.000e+00	-0.000	3.403
CRTC1	0.291	0.085	2.420	1.627e-02	1.000e+00	-0.000	0.283	0.191	0.969	3.344e-01	1.000e+00	-0.000	3.389
ZBTB7A	-0.224	-0.217	-0.065	9.484e-01	1.000e+00	-0.000	0.538	0.039	3.447	7.710e-04	4.834e-01	0.316	3.382
DDIT3	-0.012	-0.024	0.190	8.497e-01	1.000e+00	-0.000	0.341	0.090	3.184	1.831e-03	1.000e+00	-0.000	3.374
FUS	0.335	0.101	3.000	3.028e-03	1.000e+00	-0.000	0.102	0.074	0.359	7.202e-01	1.000e+00	-0.000	3.359
HNF1A	0.280	-0.030	2.426	1.614e-02	1.000e+00	-0.000	0.051	-0.072	0.874	3.839e-01	1.000e+00	-0.000	3.300
TFAP2C	0.177	-0.162	2.745	6.550e-03	1.000e+00	-0.000	0.068	0.004	0.543	5.880e-01	1.000e+00	-0.000	3.288
NR1D1	0.144	-0.023	2.218	2.750e-02	1.000e+00	-0.000	0.062	-0.016	1.026	3.070e-01	1.000e+00	-0.000	3.244
ZIC1	0.297	0.094	2.434	1.572e-02	1.000e+00	-0.000	0.293	0.213	0.809	4.201e-01	1.000e+00	-0.000	3.243
NELFB	-0.187	-0.401	1.520	1.297e-01	1.000e+00	-0.000	0.235	-0.079	1.720	8.783e-02	1.000e+00	-0.000	3.240
LHX3	0.136	0.137	-0.019	9.845e-01	1.000e+00	-0.000	0.199	0.039	3.232	1.515e-03	9.501e-01	0.022	3.213
LDB1	0.149	0.047	2.039	4.247e-02	1.000e+00	-0.000	0.133	0.078	1.125	2.627e-01	1.000e+00	-0.000	3.164
ID3	0.149	0.047	2.039	4.247e-02	1.000e+00	-0.000	0.133	0.078	1.125	2.627e-01	1.000e+00	-0.000	3.164
DNMT1	0.062	-0.046	1.323	1.870e-01	1.000e+00	-0.000	0.204	0.002	1.820	7.097e-02	1.000e+00	-0.000	3.143
PLAGL2	0.302	0.151	1.682	9.362e-02	1.000e+00	-0.000	0.155	0.028	1.422	1.571e-01	1.000e+00	-0.000	3.104
ERCC2	0.890	0.415	5.021	9.343e-07	5.858e-04	3.232	-0.115	0.059	-1.933	5.526e-02	1.000e+00	-0.000	3.088
TTF2	0.091	0.137	-0.608	5.438e-01	1.000e+00	-0.000	0.416	0.072	3.665	3.566e-04	2.236e-01	0.650	3.057
BTG2	-0.013	-0.015	0.024	9.809e-01	1.000e+00	-0.000	0.172	-0.087	2.965	3.497e-03	1.000e+00	-0.000	2.989
EPAS1	-0.008	-0.151	1.330	1.847e-01	1.000e+00	-0.000	-0.182	-0.375	1.593	1.138e-01	1.000e+00	-0.000	2.923
CUX1	0.117	0.026	0.858	3.920e-01	1.000e+00	-0.000	0.184	-0.054	2.063	4.077e-02	1.000e+00	-0.000	2.921
PAX5	0.506	0.303	2.411	1.660e-02	1.000e+00	-0.000	0.057	0.015	0.468	6.403e-01	1.000e+00	-0.000	2.879
BCL3	0.076	0.018	0.888	3.754e-01	1.000e+00	-0.000	0.069	-0.079	1.920	5.719e-02	1.000e+00	-0.000	2.808
SIN3A	0.110	-0.014	1.698	9.082e-02	1.000e+00	-0.000	0.121	0.036	1.066	2.883e-01	1.000e+00	-0.000	2.764
CEBPB	0.179	0.075	0.997	3.201e-01	1.000e+00	-0.000	0.139	-0.035	1.762	8.025e-02	1.000e+00	-0.000	2.759
SUPT3H	-0.221	-0.232	0.117	9.068e-01	1.000e+00	-0.000	0.338	0.099	2.637	9.309e-03	1.000e+00	-0.000	2.754
HOXA5	0.428	0.238	2.513	1.254e-02	1.000e+00	-0.000	0.047	0.025	0.233	8.163e-01	1.000e+00	-0.000	2.746
EN1	-0.085	-0.089	0.050	9.602e-01	1.000e+00	-0.000	0.239	0.026	2.675	8.439e-03	1.000e+00	-0.000	2.725
GATA4	-0.072	-0.068	-0.056	9.551e-01	1.000e+00	-0.000	0.183	-0.070	2.747	6.997e-03	1.000e+00	-0.000	2.691
MTA3	0.260	0.042	3.899	1.244e-04	7.802e-02	1.108	-0.061	0.011	-1.222	2.238e-01	1.000e+00	-0.000	2.677
NFYC	0.281	0.141	1.689	9.238e-02	1.000e+00	-0.000	0.068	-0.021	0.983	3.275e-01	1.000e+00	-0.000	2.672
ETV5	0.079	-0.022	1.258	2.096e-01	1.000e+00	-0.000	0.096	0.001	1.381	1.693e-01	1.000e+00	-0.000	2.639
RARG	0.079	-0.022	1.258	2.096e-01	1.000e+00	-0.000	0.096	0.001	1.381	1.693e-01	1.000e+00	-0.000	2.639
ID1	0.261	0.037	3.147	1.848e-03	1.000e+00	-0.000	-0.078	-0.035	-0.539	5.906e-01	1.000e+00	-0.000	2.608
TP63	0.160	0.200	-0.414	6.792e-01	1.000e+00	-0.000	0.420	0.024	3.017	3.116e-03	1.000e+00	-0.000	2.603
SOX2	-0.004	0.024	-0.306	7.599e-01	1.000e+00	-0.000	0.324	0.066	2.872	4.775e-03	1.000e+00	-0.000	2.566
ZNF175	0.152	-0.081	3.521	5.129e-04	3.216e-01	0.493	-0.133	-0.059	-0.978	3.302e-01	1.000e+00	-0.000	2.543
BTF3	-0.063	-0.004	-0.919	3.590e-01	1.000e+00	-0.000	0.237	-0.003	3.460	6.787e-04	4.255e-01	0.371	2.541
PHOX2B	0.191	-0.038	2.770	6.078e-03	1.000e+00	-0.000	-0.044	-0.025	-0.234	8.157e-01	1.000e+00	-0.000	2.536
POU1F1	0.108	0.235	-1.645	1.012e-01	1.000e+00	-0.000	0.401	-0.058	4.144	6.318e-05	3.961e-02	1.402	2.499
STAT3	0.279	0.178	1.039	2.997e-01	1.000e+00	-0.000	0.022	-0.114	1.444	1.510e-01	1.000e+00	-0.000	2.483
KLF8	0.351	-0.169	3.570	4.335e-04	2.718e-01	0.566	-0.259	-0.123	-1.105	2.712e-01	1.000e+00	-0.000	2.465
PROX1	0.154	0.114	0.501	6.167e-01	1.000e+00	-0.000	0.287	0.060	1.940	5.465e-02	1.000e+00	-0.000	2.441
WWTR1	-0.032	-0.066	0.350	7.266e-01	1.000e+00	-0.000	0.035	-0.207	2.078	3.997e-02	1.000e+00	-0.000	2.428
BACH2	0.233	-0.028	2.164	3.158e-02	1.000e+00	-0.000	-0.017	-0.049	0.254	7.997e-01	1.000e+00	-0.000	2.418
HNF4G	-0.054	-0.128	0.878	3.811e-01	1.000e+00	-0.000	0.123	-0.022	1.505	1.348e-01	1.000e+00	-0.000	2.383
KHDRBS1	-0.107	-0.023	-1.151	2.510e-01	1.000e+00	-0.000	0.209	-0.027	3.521	5.634e-04	3.532e-01	0.452	2.370
SMARCA1	0.040	-0.174	2.731	6.651e-03	1.000e+00	-0.000	-0.429	-0.377	-0.481	6.311e-01	1.000e+00	-0.000	2.250
SMARCB1	0.040	-0.174	2.731	6.651e-03	1.000e+00	-0.000	-0.429	-0.377	-0.481	6.311e-01	1.000e+00	-0.000	2.250
TRPS1	-0.005	-0.032	1.251	2.122e-01	1.000e+00	-0.000	0.035	0.009	0.999	3.199e-01	1.000e+00	-0.000	2.250
NCOA6	0.265	-0.036	3.591	3.998e-04	2.507e-01	0.601	-0.283	-0.118	-1.350	1.795e-01	1.000e+00	-0.000	2.241
CTNNB1	0.222	0.177	0.573	5.672e-01	1.000e+00	-0.000	0.202	0.025	1.662	9.940e-02	1.000e+00	-0.000	2.235
ELK3	-0.026	-0.130	1.798	7.338e-02	1.000e+00	-0.000	0.052	0.028	0.399	6.904e-01	1.000e+00	-0.000	2.197
HR	0.080	0.056	0.255	7.990e-01	1.000e+00	-0.000	0.083	-0.121	1.929	5.567e-02	1.000e+00	-0.000	2.184
PPARG	0.153	0.225	-0.668	5.048e-01	1.000e+00	-0.000	0.503	0.205	2.847	5.195e-03	1.000e+00	-0.000	2.179
MKL1	0.239	-0.296	3.875	1.440e-04	9.027e-02	1.044	-0.495	-0.291	-1.710	8.951e-02	1.000e+00	-0.000	2.165
KLF11	-0.121	-0.060	-1.064	2.881e-01	1.000e+00	-0.000	0.205	-0.006	3.184	1.807e-03	1.000e+00	-0.000	2.120
TFPT	0.136	0.056	0.806	4.213e-01	1.000e+00	-0.000	0.243	0.095	1.294	1.979e-01	1.000e+00	-0.000	2.100
DUX4	-0.301	-0.204	-0.887	3.762e-01	1.000e+00	-0.000	0.218	-0.194	2.957	3.736e-03	1.000e+00	-0.000	2.070
NFYB	0.131	0.062	0.918	3.595e-01	1.000e+00	-0.000	0.034	-0.074	1.151	2.522e-01	1.000e+00	-0.000	2.069
HHEX	0.102	0.070	0.939	3.485e-01	1.000e+00	-0.000	0.171	0.123	1.124	2.632e-01	1.000e+00	-0.000	2.063
NR3C2	-0.137	-0.154	0.193	8.471e-01	1.000e+00	-0.000	0.048	-0.126	1.847	6.727e-02	1.000e+00	-0.000	2.040
ELK4	0.341	0.032	3.112	2.090e-03	1.000e+00	-0.000	-0.110	0.046	-1.073	2.853e-01	1.000e+00	-0.000	2.039
THRA	0.097	0.187	-1.083	2.800e-01	1.000e+00	-0.000	0.281	-0.007	3.088	2.442e-03	1.000e+00	-0.000	2.005
HDAC2	0.275	0.098	2.048	4.165e-02	1.000e+00	-0.000	0.043	0.047	-0.051	9.596e-01	1.000e+00	-0.000	1.997
NFIB	0.617	0.486	1.199	2.318e-01	1.000e+00	-0.000	0.197	0.122	0.741	4.603e-01	1.000e+00	-0.000	1.940
USF1	-0.058	-0.112	0.803	4.228e-01	1.000e+00	-0.000	0.188	0.096	1.109	2.698e-01	1.000e+00	-0.000	1.912
PA2G4	0.084	-0.035	1.388	1.665e-01	1.000e+00	-0.000	0.169	0.093	0.496	6.209e-01	1.000e+00	-0.000	1.884
CEBPG	0.088	-0.001	0.831	4.068e-01	1.000e+00	-0.000	0.292	0.188	1.016	3.109e-01	1.000e+00	-0.000	1.847
SETBP1	-0.069	-0.005	-0.685	4.942e-01	1.000e+00	-0.000	0.944	0.606	2.519	1.318e-02	1.000e+00	-0.000	1.834
RXRA	-0.112	-0.165	0.578	5.637e-01	1.000e+00	-0.000	0.041	-0.087	1.170	2.442e-01	1.000e+00	-0.000	1.748
ARNT	-0.103	0.009	-1.259	2.092e-01	1.000e+00	-0.000	0.426	0.135	3.002	3.225e-03	1.000e+00	-0.000	1.743
ETV4	-0.273	-0.158	-1.118	2.649e-01	1.000e+00	-0.000	-0.005	-0.281	2.774	6.190e-03	1.000e+00	-0.000	1.656
CREB3	0.022	-0.178	1.309	1.917e-01	1.000e+00	-0.000	0.006	-0.037	0.298	7.663e-01	1.000e+00	-0.000	1.607
VHL	0.151	0.220	-0.600	5.487e-01	1.000e+00	-0.000	0.401	0.143	2.150	3.339e-02	1.000e+00	-0.000	1.550
TFAP2B	0.271	-0.133	2.987	3.134e-03	1.000e+00	-0.000	-0.202	0.035	-1.452	1.489e-01	1.000e+00	-0.000	1.535
RARB	-0.023	-0.032	0.252	8.013e-01	1.000e+00	-0.000	0.079	0.030	1.266	2.078e-01	1.000e+00	-0.000	1.518
GATA2	0.228	0.009	2.719	7.082e-03	1.000e+00	-0.000	-0.212	-0.092	-1.203	2.315e-01	1.000e+00	-0.000	1.516
PAX3	-0.013	-0.088	0.902	3.677e-01	1.000e+00	-0.000	0.081	0.036	0.509	6.119e-01	1.000e+00	-0.000	1.411
ETS1	-0.167	-0.256	0.863	3.890e-01	1.000e+00	-0.000	-0.078	-0.148	0.528	5.984e-01	1.000e+00	-0.000	1.391
ATF1	0.074	0.068	0.060	9.520e-01	1.000e+00	-0.000	0.215	0.095	1.314	1.909e-01	1.000e+00	-0.000	1.374
NKX2-1	0.034	-0.066	1.266	2.066e-01	1.000e+00	-0.000	0.071	0.069	0.020	9.845e-01	1.000e+00	-0.000	1.286
SRY	-0.028	-0.010	-0.188	8.509e-01	1.000e+00	-0.000	0.140	-0.041	1.470	1.444e-01	1.000e+00	-0.000	1.282
SIM2	-0.111	-0.095	-0.280	7.800e-01	1.000e+00	-0.000	0.125	0.017	1.458	1.468e-01	1.000e+00	-0.000	1.178
ERF	-0.224	-0.197	-0.298	7.658e-01	1.000e+00	-0.000	0.170	0.033	1.460	1.466e-01	1.000e+00	-0.000	1.162
PLAG1	-0.245	-0.255	0.106	9.158e-01	1.000e+00	-0.000	0.066	-0.039	1.052	2.945e-01	1.000e+00	-0.000	1.158
POU5F1	-0.280	-0.215	-0.616	5.383e-01	1.000e+00	-0.000	0.029	-0.177	1.762	8.007e-02	1.000e+00	-0.000	1.146
HAX1	-0.165	-0.177	0.208	8.357e-01	1.000e+00	-0.000	0.027	-0.035	0.898	3.709e-01	1.000e+00	-0.000	1.106
MED23	-0.131	-0.014	-2.800	5.428e-03	1.000e+00	-0.000	0.138	-0.047	3.894	1.516e-04	9.503e-02	1.022	1.094
CREB3L1	-0.176	-0.115	-0.581	5.618e-01	1.000e+00	-0.000	0.211	0.032	1.653	1.005e-01	1.000e+00	-0.000	1.072
RELA	-0.134	-0.124	-0.095	9.246e-01	1.000e+00	-0.000	-0.159	-0.291	1.151	2.518e-01	1.000e+00	-0.000	1.056
CLOCK	0.171	0.080	0.977	3.297e-01	1.000e+00	-0.000	0.077	0.070	0.069	9.452e-01	1.000e+00	-0.000	1.046
CHD4	0.221	0.239	-0.190	8.493e-01	1.000e+00	-0.000	0.219	0.081	1.200	2.326e-01	1.000e+00	-0.000	1.010
NFATC3	0.567	0.473	0.702	4.831e-01	1.000e+00	-0.000	0.286	0.237	0.305	7.609e-01	1.000e+00	-0.000	1.007
YEATS4	-0.408	-0.042	-3.860	1.491e-04	9.346e-02	1.029	0.460	-0.015	4.862	3.709e-06	2.325e-03	2.633	1.002
PAX2	-0.408	-0.042	-3.860	1.491e-04	9.346e-02	1.029	0.460	-0.015	4.862	3.709e-06	2.325e-03	2.633	1.002
RUVBL1	-0.408	-0.042	-3.860	1.491e-04	9.346e-02	1.029	0.460	-0.015	4.862	3.709e-06	2.325e-03	2.633	1.002
ING1	0.642	0.406	2.349	1.968e-02	1.000e+00	-0.000	-0.023	0.107	-1.365	1.746e-01	1.000e+00	-0.000	0.984
TBPL1	-0.023	-0.073	1.312	1.907e-01	1.000e+00	-0.000	-0.084	-0.067	-0.418	6.766e-01	1.000e+00	-0.000	0.894
MAZ	0.012	-0.090	1.028	3.053e-01	1.000e+00	-0.000	-0.107	-0.092	-0.171	8.646e-01	1.000e+00	-0.000	0.857
ZFHX3	0.547	0.430	1.189	2.355e-01	1.000e+00	-0.000	0.061	0.101	-0.354	7.239e-01	1.000e+00	-0.000	0.835
NFIX	-0.164	-0.357	1.417	1.577e-01	1.000e+00	-0.000	-0.145	-0.047	-0.656	5.128e-01	1.000e+00	-0.000	0.761
NAB2	0.015	0.053	-0.506	6.137e-01	1.000e+00	-0.000	0.402	0.293	1.261	2.099e-01	1.000e+00	-0.000	0.755
SIRT2	-0.350	-0.369	0.175	8.612e-01	1.000e+00	-0.000	-0.110	-0.171	0.523	6.022e-01	1.000e+00	-0.000	0.698
RARA	0.038	-0.041	0.880	3.796e-01	1.000e+00	-0.000	-0.199	-0.174	-0.201	8.411e-01	1.000e+00	-0.000	0.679
TWIST1	0.428	0.239	2.266	2.425e-02	1.000e+00	-0.000	-0.299	-0.103	-1.603	1.116e-01	1.000e+00	-0.000	0.663
FOXL1	0.026	-0.172	1.364	1.736e-01	1.000e+00	-0.000	-0.041	0.066	-0.760	4.487e-01	1.000e+00	-0.000	0.604
ONECUT1	-0.256	-0.182	-1.339	1.818e-01	1.000e+00	-0.000	0.135	0.016	1.942	5.418e-02	1.000e+00	-0.000	0.603
ANKRD1	0.143	0.009	2.996	2.986e-03	1.000e+00	-0.000	-0.121	0.005	-2.433	1.632e-02	1.000e+00	-0.000	0.563
TBX5	0.008	-0.075	1.364	1.738e-01	1.000e+00	-0.000	-0.151	-0.093	-0.854	3.947e-01	1.000e+00	-0.000	0.510
CEBPE	-0.115	-0.047	-0.636	5.253e-01	1.000e+00	-0.000	0.341	0.202	1.109	2.696e-01	1.000e+00	-0.000	0.473
HINFP	0.005	-0.014	0.553	5.807e-01	1.000e+00	-0.000	0.028	0.033	-0.126	8.997e-01	1.000e+00	-0.000	0.427
FOXO1	0.014	0.149	-1.541	1.245e-01	1.000e+00	-0.000	0.311	0.084	1.962	5.199e-02	1.000e+00	-0.000	0.421
PAX6	-0.093	-0.122	0.299	7.654e-01	1.000e+00	-0.000	-0.132	-0.136	0.040	9.683e-01	1.000e+00	-0.000	0.339
ERG	-0.196	-0.172	-0.307	7.588e-01	1.000e+00	-0.000	-0.093	-0.160	0.641	5.223e-01	1.000e+00	-0.000	0.334
ZBTB2	-0.536	-0.365	-1.962	5.083e-02	1.000e+00	-0.000	0.132	-0.079	2.282	2.413e-02	1.000e+00	-0.000	0.320
TAL1	-0.344	-0.117	-2.581	1.043e-02	1.000e+00	-0.000	0.324	0.044	2.791	6.096e-03	1.000e+00	-0.000	0.210
NFE2L1	0.125	0.217	-0.743	4.581e-01	1.000e+00	-0.000	0.159	0.020	0.940	3.488e-01	1.000e+00	-0.000	0.197
RB1CC1	-0.087	-0.157	1.461	1.454e-01	1.000e+00	-0.000	-0.153	-0.081	-1.298	1.970e-01	1.000e+00	-0.000	0.163
BARD1	-0.004	-0.080	1.297	1.959e-01	1.000e+00	-0.000	-0.108	-0.044	-1.163	2.469e-01	1.000e+00	-0.000	0.134
MAML1	0.142	-0.067	2.168	3.115e-02	1.000e+00	-0.000	-0.097	0.110	-2.061	4.124e-02	1.000e+00	-0.000	0.107
SPIB	0.037	-0.072	1.069	2.864e-01	1.000e+00	-0.000	-0.332	-0.220	-0.984	3.269e-01	1.000e+00	-0.000	0.085
HIF1A	-0.022	0.127	-1.406	1.611e-01	1.000e+00	-0.000	0.086	-0.082	1.479	1.420e-01	1.000e+00	-0.000	0.073
SP7	0.135	0.019	1.985	4.830e-02	1.000e+00	-0.000	-0.164	-0.048	-1.922	5.676e-02	1.000e+00	-0.000	0.063
HNF4A	-0.138	-0.287	1.797	7.359e-02	1.000e+00	-0.000	-0.257	-0.064	-1.738	8.474e-02	1.000e+00	-0.000	0.059
MTA1	-0.070	-0.170	1.363	1.740e-01	1.000e+00	-0.000	-0.198	-0.092	-1.306	1.937e-01	1.000e+00	-0.000	0.057
NFKB1	-0.116	-0.071	-0.413	6.797e-01	1.000e+00	-0.000	-0.209	-0.267	0.463	6.446e-01	1.000e+00	-0.000	0.050
IKBKB	-0.056	-0.018	-0.392	6.952e-01	1.000e+00	-0.000	-0.058	-0.103	0.416	6.777e-01	1.000e+00	-0.000	0.024
ESR2	0.635	0.559	0.726	4.682e-01	1.000e+00	-0.000	0.079	0.154	-0.730	4.668e-01	1.000e+00	-0.000	-0.004
OTX2	0.255	0.214	0.498	6.192e-01	1.000e+00	-0.000	0.205	0.251	-0.587	5.581e-01	1.000e+00	-0.000	-0.089
ATF7	0.115	0.004	1.666	9.710e-02	1.000e+00	-0.000	-0.237	-0.112	-1.821	7.084e-02	1.000e+00	-0.000	-0.155
HMGA1	-0.094	0.004	-1.206	2.292e-01	1.000e+00	-0.000	0.184	0.074	1.043	2.990e-01	1.000e+00	-0.000	-0.163
NANOG	0.091	0.119	-0.291	7.715e-01	1.000e+00	-0.000	0.101	0.090	0.127	8.993e-01	1.000e+00	-0.000	-0.164
SIRT1	-0.313	-0.189	-1.299	1.950e-01	1.000e+00	-0.000	0.033	-0.088	1.101	2.728e-01	1.000e+00	-0.000	-0.198
ZNF444	-0.139	-0.052	-1.289	1.988e-01	1.000e+00	-0.000	0.069	-0.005	1.074	2.849e-01	1.000e+00	-0.000	-0.215
PCGF2	0.092	0.033	0.975	3.305e-01	1.000e+00	-0.000	-0.045	0.033	-1.194	2.342e-01	1.000e+00	-0.000	-0.219
LYL1	-0.144	-0.065	-1.124	2.620e-01	1.000e+00	-0.000	0.049	-0.021	0.891	3.743e-01	1.000e+00	-0.000	-0.233
HOPX	-0.275	-0.157	-0.879	3.802e-01	1.000e+00	-0.000	-0.085	-0.177	0.629	5.308e-01	1.000e+00	-0.000	-0.250
HOXC9	0.033	0.037	-0.106	9.160e-01	1.000e+00	-0.000	0.050	0.055	-0.149	8.820e-01	1.000e+00	-0.000	-0.255
HOXC10	0.033	0.037	-0.106	9.160e-01	1.000e+00	-0.000	0.050	0.055	-0.149	8.820e-01	1.000e+00	-0.000	-0.255
YY1	0.178	0.177	0.016	9.873e-01	1.000e+00	-0.000	0.141	0.169	-0.344	7.312e-01	1.000e+00	-0.000	-0.328
DACH1	-0.091	0.013	-1.289	1.988e-01	1.000e+00	-0.000	0.130	0.021	0.955	3.414e-01	1.000e+00	-0.000	-0.334
LRRFIP1	-0.086	-0.138	0.790	4.304e-01	1.000e+00	-0.000	-0.013	0.065	-1.136	2.581e-01	1.000e+00	-0.000	-0.346
DLX5	0.055	0.090	-0.290	7.725e-01	1.000e+00	-0.000	-0.026	-0.012	-0.104	9.177e-01	1.000e+00	-0.000	-0.394
HOXA10	0.174	-0.034	2.823	5.173e-03	1.000e+00	-0.000	-0.446	-0.120	-3.264	1.467e-03	9.196e-01	0.036	-0.441
DAXX	0.003	0.053	-1.142	2.546e-01	1.000e+00	-0.000	0.112	0.087	0.533	5.951e-01	1.000e+00	-0.000	-0.609
NR1H4	-0.111	-0.170	0.752	4.528e-01	1.000e+00	-0.000	-0.321	-0.168	-1.375	1.719e-01	1.000e+00	-0.000	-0.623
TRRAP	-0.247	-0.205	-0.386	7.000e-01	1.000e+00	-0.000	-0.300	-0.269	-0.265	7.913e-01	1.000e+00	-0.000	-0.651
PHOX2A	-0.068	-0.081	0.205	8.374e-01	1.000e+00	-0.000	0.066	0.125	-0.861	3.909e-01	1.000e+00	-0.000	-0.656
MLLT3	-0.513	-0.442	-0.702	4.832e-01	1.000e+00	-0.000	-0.064	-0.056	-0.068	9.463e-01	1.000e+00	-0.000	-0.770
SOX9	0.014	0.007	0.117	9.069e-01	1.000e+00	-0.000	0.028	0.078	-0.895	3.723e-01	1.000e+00	-0.000	-0.778
ZNF148	0.307	-0.027	4.123	5.349e-05	3.354e-02	1.474	-0.744	-0.163	-4.959	2.335e-06	1.464e-03	2.834	-0.836
BCL11A	-0.029	-0.123	1.564	1.189e-01	1.000e+00	-0.000	-0.297	-0.131	-2.412	1.715e-02	1.000e+00	-0.000	-0.848
GBX2	0.200	0.313	-1.096	2.742e-01	1.000e+00	-0.000	0.183	0.154	0.247	8.054e-01	1.000e+00	-0.000	-0.849
ZMYND11	0.200	0.313	-1.096	2.742e-01	1.000e+00	-0.000	0.183	0.154	0.247	8.054e-01	1.000e+00	-0.000	-0.849
PIAS2	0.012	0.115	-1.050	2.949e-01	1.000e+00	-0.000	0.140	0.121	0.196	8.449e-01	1.000e+00	-0.000	-0.854
IRF5	-0.077	-0.011	-1.603	1.101e-01	1.000e+00	-0.000	0.051	0.017	0.748	4.559e-01	1.000e+00	-0.000	-0.855
LMO3	0.093	0.109	-0.270	7.870e-01	1.000e+00	-0.000	-0.136	-0.102	-0.611	5.421e-01	1.000e+00	-0.000	-0.881
HNF1B	-0.144	-0.149	0.057	9.549e-01	1.000e+00	-0.000	-0.153	-0.073	-0.953	3.422e-01	1.000e+00	-0.000	-0.896
ARNTL	-0.103	0.039	-1.330	1.847e-01	1.000e+00	-0.000	0.187	0.124	0.431	6.670e-01	1.000e+00	-0.000	-0.899
NPM1	-0.088	0.184	-3.636	3.326e-04	2.085e-01	0.681	0.206	-0.010	2.731	7.183e-03	1.000e+00	-0.000	-0.905
NCOR1	0.369	0.263	0.998	3.194e-01	1.000e+00	-0.000	0.151	0.389	-1.929	5.587e-02	1.000e+00	-0.000	-0.931
LHX2	-0.019	0.162	-2.756	6.242e-03	1.000e+00	-0.000	0.177	0.012	1.821	7.106e-02	1.000e+00	-0.000	-0.935
NF1	0.633	0.222	3.633	3.555e-04	2.229e-01	0.652	-0.602	0.032	-4.590	1.171e-05	7.341e-03	2.134	-0.957
BRD7	0.131	0.168	-0.464	6.428e-01	1.000e+00	-0.000	0.129	0.184	-0.522	6.024e-01	1.000e+00	-0.000	-0.986
ELL	-0.578	-0.481	-0.930	3.536e-01	1.000e+00	-0.000	-0.087	-0.077	-0.087	9.307e-01	1.000e+00	-0.000	-1.017
MBD1	-0.271	-0.135	-1.594	1.122e-01	1.000e+00	-0.000	0.108	0.055	0.548	5.849e-01	1.000e+00	-0.000	-1.046
NFKBIB	-0.251	-0.126	-2.687	7.669e-03	1.000e+00	-0.000	0.213	0.127	1.584	1.155e-01	1.000e+00	-0.000	-1.103
SKIL	0.092	0.138	-0.583	5.607e-01	1.000e+00	-0.000	-0.046	0.011	-0.601	5.488e-01	1.000e+00	-0.000	-1.184
PBX2	-0.070	-0.113	0.402	6.878e-01	1.000e+00	-0.000	-0.151	0.047	-1.639	1.036e-01	1.000e+00	-0.000	-1.237
NR2C2	0.084	0.077	0.154	8.779e-01	1.000e+00	-0.000	-0.035	0.039	-1.398	1.645e-01	1.000e+00	-0.000	-1.244
HDAC11	0.182	0.099	1.161	2.467e-01	1.000e+00	-0.000	-0.124	0.069	-2.409	1.733e-02	1.000e+00	-0.000	-1.248
TLX1	0.499	0.197	2.886	4.366e-03	1.000e+00	-0.000	-0.661	-0.183	-4.150	7.036e-05	4.412e-02	1.355	-1.264
KLF15	-0.175	-0.135	-0.692	4.899e-01	1.000e+00	-0.000	-0.030	0.007	-0.574	5.672e-01	1.000e+00	-0.000	-1.266
ELF3	-0.206	-0.079	-1.060	2.903e-01	1.000e+00	-0.000	-0.062	-0.034	-0.231	8.180e-01	1.000e+00	-0.000	-1.291
PAX8	-0.316	-0.163	-1.623	1.059e-01	1.000e+00	-0.000	0.014	-0.012	0.308	7.587e-01	1.000e+00	-0.000	-1.315
SKI	0.466	0.376	1.128	2.604e-01	1.000e+00	-0.000	-0.143	0.088	-2.488	1.431e-02	1.000e+00	-0.000	-1.360
