TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
EWSR1	0.778	0.111	5.398	1.896e-07	1.189e-04	3.925	0.944	0.239	4.836	3.695e-06	2.317e-03	2.635	10.234
KLF10	1.175	0.413	6.396	1.073e-09	6.729e-07	6.172	0.179	-0.178	3.817	2.005e-04	1.257e-01	0.901	10.213
MYOCD	0.908	0.027	6.849	6.411e-11	4.019e-08	7.396	0.385	-0.102	3.321	1.147e-03	7.191e-01	0.143	10.170
CDX2	0.910	0.249	5.328	2.423e-07	1.519e-04	3.818	0.985	0.223	4.711	7.462e-06	4.679e-03	2.330	10.039
PIAS1	0.366	0.038	3.441	6.762e-04	4.240e-01	0.373	0.898	-0.018	6.584	1.334e-09	8.361e-07	6.078	10.025
FOXP3	0.488	0.169	5.293	2.463e-07	1.544e-04	3.811	0.378	0.006	4.720	6.775e-06	4.248e-03	2.372	10.013
EGR3	0.183	-0.059	4.494	1.049e-05	6.579e-03	2.182	0.439	0.052	5.506	1.788e-07	1.121e-04	3.950	10.000
PAWR	0.610	0.029	7.307	4.601e-12	2.885e-09	8.540	0.309	0.064	2.661	8.810e-03	1.000e+00	-0.000	9.968
MSX1	0.620	-0.034	4.428	1.493e-05	9.359e-03	2.029	0.822	-0.200	5.199	7.709e-07	4.834e-04	3.316	9.627
ISL1	0.701	-0.167	6.491	7.125e-10	4.467e-07	6.350	0.221	-0.150	3.096	2.339e-03	1.000e+00	-0.000	9.587
FHL2	1.317	0.718	3.960	1.083e-04	6.789e-02	1.168	0.872	0.157	5.592	1.380e-07	8.655e-05	4.063	9.552
BHLHE41	0.474	0.173	2.580	1.062e-02	1.000e+00	-0.000	0.893	0.158	6.940	1.407e-10	8.822e-08	7.054	9.520
NFRKB	0.661	0.128	4.954	1.557e-06	9.761e-04	3.010	0.539	0.121	4.525	1.453e-05	9.110e-03	2.040	9.479
ECD	0.196	0.068	3.007	2.948e-03	1.000e+00	-0.000	0.210	-0.026	6.260	3.307e-09	2.073e-06	5.683	9.267
MDM2	0.496	-0.169	5.979	6.885e-09	4.317e-06	5.365	0.332	-0.027	3.167	1.893e-03	1.000e+00	-0.000	9.146
DNMT3L	0.357	0.052	4.452	1.319e-05	8.269e-03	2.083	0.178	-0.177	4.628	8.403e-06	5.269e-03	2.278	9.080
FOXQ1	0.476	-0.063	4.333	2.105e-05	1.320e-02	1.880	0.787	-0.062	4.713	6.754e-06	4.235e-03	2.373	9.046
RUNX1	0.618	0.188	5.295	2.880e-07	1.806e-04	3.743	0.342	0.039	3.730	2.800e-04	1.756e-01	0.756	9.025
SMARCA4	0.682	0.197	4.518	9.790e-06	6.138e-03	2.212	0.501	-0.096	4.431	2.186e-05	1.371e-02	1.863	8.949
ZNF350	0.419	-0.014	3.967	1.079e-04	6.763e-02	1.170	0.653	0.185	4.898	3.082e-06	1.932e-03	2.714	8.865
OTX1	0.439	0.119	5.806	2.140e-08	1.342e-05	4.872	0.376	0.188	2.938	3.941e-03	1.000e+00	-0.000	8.744
NR4A3	0.763	0.084	5.997	8.977e-09	5.629e-06	5.250	0.529	0.201	2.699	8.089e-03	1.000e+00	-0.000	8.696
HEXIM1	0.669	0.210	3.139	1.974e-03	1.000e+00	-0.000	0.708	0.017	5.413	2.669e-07	1.673e-04	3.776	8.552
HMGA2	0.337	0.007	4.310	2.322e-05	1.456e-02	1.837	0.339	0.027	4.181	5.045e-05	3.163e-02	1.500	8.491
WT1	0.250	-0.068	4.197	3.728e-05	2.337e-02	1.631	0.409	-0.002	4.106	7.073e-05	4.435e-02	1.353	8.303
ATF4	1.268	0.343	6.176	2.875e-09	1.803e-06	5.744	0.607	0.295	2.115	3.639e-02	1.000e+00	-0.000	8.291
NR5A2	0.508	-0.193	6.422	6.879e-10	4.313e-07	6.365	-0.029	-0.263	1.860	6.532e-02	1.000e+00	-0.000	8.282
IRF8	0.378	-0.052	5.323	2.053e-07	1.287e-04	3.890	0.270	-0.004	2.946	3.746e-03	1.000e+00	-0.000	8.269
SPI1	0.357	0.002	3.277	1.202e-03	7.535e-01	0.123	0.582	-0.098	4.931	2.265e-06	1.420e-03	2.848	8.208
NFIC	0.053	-0.230	3.801	1.751e-04	1.098e-01	0.959	0.251	-0.096	4.351	2.392e-05	1.500e-02	1.824	8.152
FOXD3	0.327	-0.001	2.988	3.186e-03	1.000e+00	-0.000	0.573	0.005	5.044	1.377e-06	8.636e-04	3.064	8.032
SUGP1	0.438	-0.120	5.257	3.053e-07	1.914e-04	3.718	0.140	-0.178	2.721	7.360e-03	1.000e+00	-0.000	7.978
NR1H2	0.374	0.083	3.437	6.958e-04	4.363e-01	0.360	0.527	0.112	4.488	1.591e-05	9.973e-03	2.001	7.925
TSG101	0.177	-0.037	3.620	3.582e-04	2.246e-01	0.649	0.402	0.114	4.300	3.503e-05	2.197e-02	1.658	7.920
HLTF	0.447	0.169	3.690	2.678e-04	1.679e-01	0.775	0.506	0.110	4.180	5.524e-05	3.463e-02	1.461	7.870
IRF3	0.587	0.100	4.629	5.861e-06	3.675e-03	2.435	0.369	-0.047	3.213	1.690e-03	1.000e+00	-0.000	7.842
PLAGL1	0.240	-0.030	4.558	8.569e-06	5.373e-03	2.270	0.291	0.070	3.249	1.493e-03	9.360e-01	0.029	7.807
NHLH2	0.369	0.128	3.379	8.414e-04	5.275e-01	0.278	0.356	0.047	4.153	5.937e-05	3.722e-02	1.429	7.532
TFDP3	0.581	0.290	3.471	6.084e-04	3.815e-01	0.419	0.544	0.145	4.036	9.489e-05	5.949e-02	1.226	7.507
NR1H3	0.407	0.072	3.772	1.987e-04	1.246e-01	0.904	0.466	0.085	3.723	2.894e-04	1.814e-01	0.741	7.495
STAT1	0.822	0.400	4.234	3.342e-05	2.095e-02	1.679	0.481	0.146	3.227	1.618e-03	1.000e+00	-0.000	7.461
HIC1	0.199	-0.203	3.078	2.418e-03	1.000e+00	-0.000	0.603	0.078	4.309	3.447e-05	2.161e-02	1.665	7.387
CREM	0.047	-0.254	3.796	1.861e-04	1.167e-01	0.933	0.449	0.029	3.574	5.300e-04	3.323e-01	0.478	7.370
NRL	0.085	-0.026	3.629	3.513e-04	2.203e-01	0.657	0.119	-0.004	3.680	3.293e-04	2.065e-01	0.685	7.309
CEBPA	0.156	-0.173	3.001	3.009e-03	1.000e+00	-0.000	0.589	0.002	4.221	4.602e-05	2.886e-02	1.540	7.222
GATA6	0.428	-0.131	4.296	2.623e-05	1.645e-02	1.784	0.619	0.153	2.905	4.421e-03	1.000e+00	-0.000	7.201
SOX4	0.340	0.031	4.708	4.551e-06	2.854e-03	2.545	0.145	-0.028	2.432	1.635e-02	1.000e+00	-0.000	7.140
ZNF382	0.068	-0.127	1.838	6.735e-02	1.000e+00	-0.000	0.987	0.272	5.245	6.106e-07	3.828e-04	3.417	7.083
MECP2	0.533	0.150	3.110	2.097e-03	1.000e+00	-0.000	0.384	-0.093	3.925	1.377e-04	8.633e-02	1.064	7.035
NELFCD	0.716	0.388	2.465	1.458e-02	1.000e+00	-0.000	0.597	0.053	4.545	1.229e-05	7.704e-03	2.113	7.010
ZNF160	1.104	0.423	5.544	8.115e-08	5.088e-05	4.293	0.474	0.270	1.279	2.034e-01	1.000e+00	-0.000	6.823
ING4	0.854	0.623	2.118	3.535e-02	1.000e+00	-0.000	1.082	0.454	4.688	7.041e-06	4.415e-03	2.355	6.806
IRF9	0.764	0.478	2.952	3.526e-03	1.000e+00	-0.000	0.577	0.224	3.798	2.227e-04	1.396e-01	0.855	6.750
APC	0.136	0.016	1.198	2.324e-01	1.000e+00	-0.000	0.958	0.176	5.550	2.078e-07	1.303e-04	3.885	6.748
KAT5	0.392	0.179	2.699	7.403e-03	1.000e+00	-0.000	0.578	0.225	3.993	1.057e-04	6.628e-02	1.179	6.692
GLI1	0.133	-0.111	2.442	1.534e-02	1.000e+00	-0.000	0.552	0.033	4.208	4.956e-05	3.107e-02	1.508	6.650
